Density,Sonic,Gamma
1477.113,512.5634,18.7934
1453.2886,517.8567,18.5324
1446.7947,524.4296,17.0243
1457.9249,528.2753,16.5852
1481.7914,530.0728,16.5852
1514.869,529.7041,16.5855
1517.4716,526.6072,16.5891
1484.4293,521.2672,16.5891
1418.1293,524.6465,16.5891
1385.8757,523.7021,16.5891
1407.1027,525.9737,16.5934
1436.2001,524.9338,17.2104
1469.2832,522.6257,19.0551
1478.6494,517.8658,19.0672
1459.7936,514.3267,19.0672
1459.2841,514.4248,17.6692
1437.7067,517.554,15.8194
1393.0641,523.4094,15.6794
1383.729,527.0114,15.6794
1384.244,526.1187,15.6794
1381.2797,520.0424,15.6794
1414.4178,507.9471,14.5884
1460.4183,501.9876,13.9981
1487.6782,507.4858,13.9196
1520.9,517.7443,13.9196
1546.1135,528.3555,14.4709
1570.631,534.5051,15.4413
1595.5105,539.1447,16.2538
1624.9509,543.3132,16.9029
1630.0159,543.4307,17.5987
1599.1611,539.7767,17.8035
1544.5884,534.7551,17.8035
1491.0889,530.2825,17.4569
1452.6796,533.0354,17.2889
1428.0424,541.3839,16.7593
1392.5599,543.6666,16.1317
1372.1597,541.4276,16.0156
1372.0552,539.3258,16.0676
1375.3201,538.2291,15.9917
1375.7037,536.374,15.9353
1379.101,535.4762,16.0076
1382.7634,536.485,15.8895
1376.9917,538.0355,15.5404
1378.4541,541.1769,15.3614
1389.3518,546.9387,15.3614
1388.9984,549.3148,15.3614
1385.9425,548.164,15.3952
1399.1509,548.2601,15.5311
1434.1473,547.031,15.6542
1473.78,545.4458,15.6542
1490.4281,542.8977,15.4742
1489.0387,536.9911,15.1888
1478.0568,531.3585,15.1888
1460.6641,531.8654,15.2785
1446.5278,535.2145,15.8534
1444.535,537.9683,16.848
1438.8954,537.0007,17.2207
1406.0034,533.2589,17.281
1373.104,527.7052,17.4455
1376.9771,526.8008,18.0615
1393.0909,527.024,18.5724
1419.7656,518.8674,18.9001
1442.8619,520.0799,18.9001
1476.468,524.2716,18.7615
1468.2301,526.087,18.071
1442.5983,530.5432,17.8801
1423.0366,540.1754,17.6966
1415.9353,548.3088,17.9052
1411.4036,543.9343,17.9063
1402.532,537.9943,18.0361
1399.7993,530.9174,19.4492
1387.8419,524.2162,20.0373
1372.4333,525.6945,20.0422
1373.5706,532.4659,20.1934
1386.1001,539.767,20.9321
1392,534.0798,21.6095
1392,528.623,24.3674
1396.5442,533.9487,26.7119
1391.8376,539.0479,27.9849
1421.3777,547.9542,28.0432
1443.9253,547.1549,28.0432
1443.6144,542.8922,24.9567
1413.8669,537.3787,24.6395
1397.173,528.2012,24.6395
1389.3268,521.0405,25.1497
1394.2648,520.6404,25.5184
1399.6169,522.9224,26.3157
1420.1031,536.2491,26.4715
1420.3564,530.8632,26.4715
1395.9995,523.2245,25.3068
1382.4363,512.6846,24.0707
1387.0221,511.8239,23.7881
1390.6083,515.2814,23.7881
1388.2467,524.3356,24.2776
1390.8442,534.4461,24.4743
1392.772,535.6259,24.4743
1386.1659,529.4951,24.0838
1381.183,522.8721,23.4488
1375.8031,520.8569,22.7395
1376.1445,522.157,22.48
1380.7604,525.8924,22.4875
1380.7223,526.8051,22.4875
1374.2418,521.2765,22.4875
1376.6642,517.6967,23.5094
1381.64,519.2233,24.5419
1380.9279,526.8946,25.0255
1377.9672,536.3729,25.304
1373.7992,542.5214,25.0216
1369.9115,542.7064,24.2106
1367.7454,535.84,23.6399
1370.176,530.082,23.6399
1388.4388,530.3646,24.0718
1420.5728,535.6732,25.1341
1482.7726,543.8852,26.064
1552.4,549.2775,26.5119
1550.4917,550.6212,26.6788
1541.3762,555.2191,26.6788
1520.1438,562.5284,26.2089
1490.7041,571.8548,24.6093
1460.0216,580.0187,22.9504
1429.2285,579.549,22.2886
1439.4349,566.0328,22.2613
1455.5244,549.7249,22.1861
1442.2156,535.5362,22.2492
1413.7784,525.1974,22.4903
1402.0811,527.1783,22.7998
1414.9512,526.6924,23.659
1464.5995,526.7817,24.1908
1550.8881,529.7205,24.1908
1595.6965,527.9048,23.9722
1642.0039,528.2444,22.4561
1655.2637,529.6816,21.7222
1633.3438,532.9143,21.3682
1588.4919,537.6758,21.258
1561.1111,545.3886,20.8574
1548.0858,552.5724,20.8574
1571.4717,549.2192,20.881
1562.8729,541.3338,21.74
1514.5,531.7926,22.0507
1448.9431,523.7303,22.4564
1452.5881,525.2706,24.1268
1469.4062,532.7303,26.3671
1500.4888,537.1653,26.6866
1519.8083,540.067,27.2172
1522.1133,538.3895,27.7418
1539.0854,531.3611,27.7877
1579.3871,528.924,28.4432
1616.7559,525.6485,29.6919
1641.769,525.6889,32.5816
1656.1505,530.3956,35.5868
1675.0532,530.486,36.1665
1681.7007,528.8182,36.1841
1689.5597,526.6691,36.1097
1686.2089,525.0532,35.7736
1653.6349,523.6324,35.0822
1624.6537,521.3369,33.2321
1589.9265,517.9518,32.1481
1547.7881,517.6985,30.4702
1518.5945,520.9091,28.1711
1482.2417,521.2714,27.4041
1486.7559,519.2543,27.4041
1506.3932,514.1436,27.3515
1494.5988,506.3033,27.3219
1474.714,503.4337,27.7249
1469.6865,507.6483,27.9862
1472.7365,516.311,27.0742
1482.0737,522.9485,26.3958
1527.1886,524.6566,26.3958
1552.1727,520.6548,24.6993
1531.5376,514.3359,23.1751
1500.0902,512.5485,23.1751
1485.9136,513.9511,24.089
1494.8606,516.3294,25.5652
1507.3636,520.2532,26.5798
1545.3555,522.3988,27.7593
1599.8257,521.8596,28.5594
1624.3398,520.3916,28.5594
1620.6671,517.3342,27.16
1600.228,515.1075,24.8234
1550.4932,516.0084,24.5368
